rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
83,CoRoT-24,CoRoT-24 c,2014,11.759,0.098,0,28,0.088,5,0.44,0.045,1.3,850,600,4950,4.55,-0.601,0.91,0.86,0.3,11
84,CoRoT-25,CoRoT-25 b,2013,4.86069,0.0578,0,85.81,0.27,12.11,1.08,0.111,0.15,1330,1000,6040,4.31,0.141,1.09,1.19,-0.01,4.5
85,CoRoT-26,CoRoT-26 b,2013,4.20474,0.0526,0,165.26,0.52,14.12,1.26,0.13,0.28,1600,1670,5590,3.99,0.451,1.09,1.79,0.01,8.6
86,CoRoT-27,CoRoT-27 b,2014,3.57532,0.0476,0.065,3302.11,10.39,11.287,1.007,0.103,12.6,1500,1035.15,5900,4.4,-0.166,1.05,1.08,-0.1,4.21
87,CoRoT-28,CoRoT-28 b,2015,5.20851,0.0603,0.047,153.82972,0.484,10.705,0.955,0.098,0.69,,560,5150,3.6,0.388,1.01,1.78,0.15,12
88,CoRoT-29,CoRoT-29 b,2015,2.85057,0.0386,0.082,270.1555,0.85,10.088,0.9,0.092,1.45,,765,5260,4.3,-0.347,0.97,0.9,0.2,4.5
89,CoRoT-3,CoRoT-3 b,2008,4.2568,0.05783,0,6883.91,21.66,11.32,1.01,0.104,26.4,1695,680,6740,4.22,0.391,1.37,1.56,0.14,2.2
90,CoRoT-4,CoRoT-4 b,2008,9.20205,0.09,0,228.83,0.72,13.34,1.19,0.122,0.525,1074,741.6,6190,4.41,0.185,1.16,1.17,0.15,1
91,CoRoT-5,CoRoT-5 b,2009,4.0378962,0.04947,0.09,148.42,0.467,15.558,1.388,0.143,0.217,1438,904.65,6100,4.19,0.223,1,1.19,-0.25,6.9
92,CoRoT-6,CoRoT-6 b,2009,8.886593,0.0855,0.1,940.74,2.96,13.068,1.166,0.12,2.32,1017,657.24,6090,4.43,0.026,1.05,1.02,-0.2,2.5
93,CoRoT-7,CoRoT-7 b,2009,0.85359163,0.017016,0,3.1783,0.01,1.681,0.15,0.015,6.61,1756,160.64,5275,4.5,-0.292,0.82,0.83,0.05,1.75
