hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
HD 22781,HD 22781 b,Radial Velocity,2011,528.07,4338.2,12.3,12.8,32.63,8.766,V (Johnson),6.607,5027,4.6,-0.476,0.75,0.74,4.8
HD 23079,HD 23079 b,Radial Velocity,2001,730.59998,829.5363,13.2,1.98,33.49,7.12,V (Johnson),5.705,5974,4.43,0.133,1.12,1.07,2
HD 23127,HD 23127 b,Radial Velocity,2006,1211.17,485.32641,13.5,1.08,94.11,8.576,V (Johnson),7.087,5843,4.15,0.452,1.21,1.49,4.508
HD 231701,HD 231701 b,Radial Velocity,2007,141.63,359.1479,13.7,0.768,109.22,8.97,V (Johnson),7.657,6101,4.37,0.47,1.21,1.53,3.43
HD 233604,HD 233604 b,Radial Velocity,2013,192,2089.644,12.7,5.61,868.63,10.406,V (Johnson),7.979,4791,2.55,1.75,1.5,10.9,2.4
HD 233832,HD 233832 b,Radial Velocity,2018,2058,565.7374,13.5,1.26,58.84,10.146,V (Johnson),8.013,4981,4.49,-0.525,0.71,0.68,5.417
HD 23472,HD 23472 b,Transit,2019,17.667,17.92,4.42,1.14,39.08,9.724,V (Johnson),7.207,4826.33,,-0.636,0.75,0.73,
HD 23472,HD 23472 c,Transit,2019,29.625,17.18,4.31,1.18,39.08,9.724,V (Johnson),7.207,4826.33,,-0.636,0.75,0.73,
HD 23596,HD 23596 b,Radial Velocity,2003,1561,2870.0049,12.5,8.07,52.08,7.244,V (Johnson),5.874,6040,4.23,0.46,1.47,1.53,5.68
HD 238914,HD 238914 b,Radial Velocity,2018,4100,1906.98,12.8,5,527.24,8.79,V (Johnson),6.325,4769,2.37,1.85,1.47,12.73,
HD 240210,HD 240210 b,Radial Velocity,2009,501.75,1655.82,12.8,4.34,142.86,8.33,V (Johnson),4.388,4297,2.31,1.55,0.82,25.46,5.085
HD 240237,HD 240237 b,Radial Velocity,2011,745.70001,5050.3187,12.2,15.3,958.16,8.19,V (Johnson),4.319,3926,1.67,3.095,8.76,71.23,4.42
HD 24040,HD 24040 b,Radial Velocity,2006,3668,1226.8238,13,3.07,46.68,7.493,V (Johnson),5.969,5802,4.26,0.276,1.11,1.3,6.68
HD 24064,HD 24064 b,Radial Velocity,2015,535.59998,4096.8287,12.3,12.1,302.86,6.75,V (Johnson),3.13,4052,1.44,2.546,1.61,40,9
HD 24085,HD 24085 b,Radial Velocity,2019,2.0455,11.8,3.46,1.57,54.99,7.564,V (Johnson),6.172,6034,,0.377,1.22,1.41,
HD 25015,HD 25015 b,Radial Velocity,2019,6019.32,1423.8784,12.9,3.64,37.47,8.87,V (Johnson),6.806,5160,4.4,-0.384,0.86,0.83,4
HD 25171,HD 25171 b,Radial Velocity,2010,1802.29,290.81445,13.9,0.595,55.7,7.782,V (Johnson),6.489,6125,4.26,0.302,1.08,1.23,4.802
HD 2638,HD 2638 b,Radial Velocity,2005,3.4442,133.4886,14.3,0.251,55.05,9.375,V (Johnson),7.308,5186,4.38,-0.292,0.77,0.94,1
HD 2685,HD 2685 b,Transit,2019,4.12688,371.8611,16.141,0.486,197.98,9.52,G (Gaia),8.595,6801,4.21,0.668,1.43,1.56,1.31
HD 26965,HD 26965 b,Radial Velocity,2018,42.378,8.47,2.84,2.03,5.04,4.43,V (Johnson),2.498,5072,4.45,-0.34,0.78,0.87,6.9
HD 27442,HD 27442 b,Radial Velocity,2000,428.1,495.8,13.5,1.11,18.28,4.44,V (Johnson),1.745,4846,3.78,0.851,1.23,3.18,2.89
HD 27631,HD 27631 b,Radial Velocity,2012,2198.14,474.83802,13.6,1.04,50.36,8.243,V (Johnson),6.646,5737,4.46,0.043,0.94,0.92,4.01
HD 27894,HD 27894 b,Radial Velocity,2005,18.02,211.35695,14.1,0.414,43.88,9.349,V (Johnson),7.071,4894,4.08,-0.409,0.8,0.89,13
HD 27894,HD 27894 c,Radial Velocity,2017,36.07,51.48846,8.24,0.506,43.88,9.349,V (Johnson),7.071,4894,4.08,-0.409,0.8,0.89,13
HD 27894,HD 27894 d,Radial Velocity,2017,5174,1721.04945,12.8,4.51,43.88,9.349,V (Johnson),7.071,4894,4.08,-0.409,0.8,0.89,13
HD 28185,HD 28185 b,Radial Velocity,2001,379,1875.197,12.8,4.91,39.43,7.81,V (Johnson),6.185,5662,4.42,0.016,1.02,1.03,2.5
HD 28254,HD 28254 b,Radial Velocity,2010,1116,368.67,13.7,0.788,54.7,7.684,V (Johnson),6.006,5664,4.12,0.34,1.06,1.48,
HD 285507,HD 285507 b,Radial Velocity,2013,6.0881,311.4734,13.8,0.651,45.09,10.267,V (Johnson),7.665,4503,4.67,-0.719,0.82,0.69,0.625
HD 285968,HD 285968 b,Radial Velocity,2008,8.7836,8.4,2.83,2.04,9.47,10.038,V (Johnson),5.607,3679,4.81,-1.472,0.45,0.45,3.62
HD 28678,HD 28678 b,Radial Velocity,2011,380.2,490.09386,13.5,1.09,190.92,8.38,V (Johnson),5.775,4972,3.06,1.26,1.53,6.48,1.8
HD 29021,HD 29021 b,Radial Velocity,2017,1362.3,762.792,13.3,1.78,31.02,7.76,V (Johnson),6.082,5560,4.44,-0.174,0.85,0.85,7.4
HD 290327,HD 290327 b,Radial Velocity,2009,2443,772.3269,13.3,1.8,56.52,8.99,V (Johnson),7.271,5505,4.41,-0.137,0.84,0.95,
HD 2952,HD 2952 b,Radial Velocity,2013,311.60001,435.4271,13.6,0.951,110.45,5.922,V (Johnson),3.629,4844,2.67,1.77,1.97,10.76,
HD 30177,HD 30177 b,Radial Velocity,2002,2527.83,2740.33026,12.6,7.53,55.68,8.397,V (Johnson),6.715,5607,4.42,0.084,1.05,1.02,2.525
HD 30177,HD 30177 c,Radial Velocity,2016,11613,2415.508,12.6,6.64,55.68,8.397,V (Johnson),6.715,5607,4.42,0.084,1.05,1.02,2.525
